date,stn,Glo_H_rad_mean
1961-01-01,ATL,125.47826086956522
1961-01-01,CHI,51.82608695652174
1961-01-01,FW,126.82608695652173
1961-01-01,LA,113
1961-01-01,NEW,27.869565217391305
1961-01-01,SEA,32.21739130434783
1961-01-02,ATL,111.70833333333333
1961-01-02,CHI,60.583333333333336
1961-01-02,FW,160.58333333333334
1961-01-02,LA,111.54166666666667
1961-01-02,NEW,99.04166666666667
1961-01-02,SEA,59.875
1961-01-03,ATL,142.16666666666666
1961-01-03,CHI,54.708333333333336
1961-01-03,FW,157.75
1961-01-03,LA,124.79166666666667
1961-01-03,NEW,73.58333333333333
1961-01-03,SEA,52.083333333333336
1961-01-04,ATL,149.41666666666666
1961-01-04,CHI,88.58333333333333
1961-01-04,FW,132.125
1961-01-04,LA,115.33333333333333
1961-01-04,NEW,93.875
1961-01-04,SEA,27.916666666666668
1961-01-05,ATL,77.83333333333333
1961-01-05,CHI,91.04166666666667
1961-01-05,FW,136.41666666666666
1961-01-05,LA,142.25
1961-01-05,NEW,102.54166666666667
1961-01-05,SEA,19.375
1961-01-06,ATL,140.16666666666666
1961-01-06,CHI,83.04166666666667
1961-01-06,FW,47
1961-01-06,LA,126.33333333333333
1961-01-06,NEW,75.66666666666667
1961-01-06,SEA,25.208333333333332
1961-01-07,ATL,66.29166666666667
1961-01-07,CHI,44.875
1961-01-07,FW,47.333333333333336
1961-01-07,LA,128.5
1961-01-07,NEW,94.79166666666667
1961-01-07,SEA,44.958333333333336
1961-01-08,ATL,77.125
1961-01-08,CHI,104.25
1961-01-08,FW,160.375
1961-01-08,LA,144.66666666666666
1961-01-08,NEW,72.45833333333333
1961-01-08,SEA,23.458333333333332
1961-01-09,ATL,152.33333333333334
1961-01-09,CHI,88.25
1961-01-09,FW,165.16666666666666
1961-01-09,LA,133.70833333333334
1961-01-09,NEW,100.375
1961-01-09,SEA,35.458333333333336
1961-01-10,ATL,158.25
1961-01-10,CHI,72.41666666666667
1961-01-10,FW,121.79166666666667
1961-01-10,LA,141.125
1961-01-10,NEW,92
1961-01-10,SEA,24.125
1961-01-11,ATL,136.66666666666666
1961-01-11,CHI,87.79166666666667
1961-01-11,FW,55
1961-01-11,LA,145.125
